Item,Transaction,Kuantitas
RAK MINI SSN 4,1,1 
SAPU TEPES,2,1 
TALENAN KAYU BSR,3,6 
LEMARI PLASTICO 4SSN,4,3 
RAK CHIKI/SNACK JUMBO,5,1 
LAMBAR KACA,6,1 
SELIMUT KARAKTER ANAK,6,1 
HANDUK KARAKTER ANAK,7,1 
PISAU SET GSF,8,1 
TEKO JINNIE AYAM JAGO PURIH DX,9,1 
PRESTO HCML 8 L,9,1 
FRYPAN SET PANCI,11,1 
MUKENA TERUSAN FATIMAH,11,1 
DIPAN 160 MINIMALIS,11,1 
TOPLES 16L,12,1 
RAK SEPATU PORTABLE GENEVA 5SN,12,1 
BOX CONTAINER,12,1 
STIKER MOMO,13,1 
LEMARI PLASTICO 4SSN,13,1 
STIKER MOMO,13,3 
RAK SET GANTUNG 3IN1,13,4 
SPRITE/COCA COLA/fFANTA 1 KRAT,13,4 
NAMPAN 4 SEDENG,14,3 
BANTAL/GULING KARAKTER,15,2 
PEL PELAN NAGOYA,15,1 
EMBER 23 REDHOUSE,15,1 
BOTOL ENJOYLIFE,15,1 
TREMOS ELEPHANT,16,1 
RAK SEPATU PORTABLE GENEVA 5SN,17,1 
POMPA GALON ELEKTRIK GSF,17,1 
GELAS CANTEL JEMPOL,17,1 
GELAS CANTEL POLOS JUMBO,18,1 
SPRINGBED BIGDREAM 180,18,1 
TEPUNG IRUT,19,1 
CUTER TRANSPARAN,20,2 
KARPET SPONS MURAH,21,1 
RACUN TIKUS,22,5 
SELIMUT KARAKTER ANAK,23,2 
KIPAS WELHOME BERDIRI 1681,24,1 
KARPET METERAN,24,2 
LEMARI GMCC TIREX 3SSN,24,4 
CUTER TRANSPARAN,24,1 
KARTU MEMBER,25,1 
TEMPAT TISU KOTAK PANJANG,26,1 
SPREI WATERPROOF 180,27,1 
TIMBANGAN  DIGITAL GSF,28,1 
SETRIKA COSMOS CIS-428,29,1 
LEMARI GMCC TIREX 3SSN,30,1 
MAINAN TARIK,30,1 
BATU BATRAI DYNAMAX,30,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,31,1 
CLUNNY SET,31,1 
PISAU SET GSF,31,1 
GAGANG SUPERMOP,32,1 
PIRING ROTAN PLASTIK,32,1 
TIKAR ISTANA JUMBO,32,1 
KARTU MEMBER,33,1 
RACUN TIKUS,34,3 
RODA KAKI KULKAS,35,1 
SPREI MY LOVE 180 30CM,35,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,36,2 
RANTANG JAGO STENLIS,36,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,36,1 
SPREI MY LOVE 180 30CM,37,1 
MAINAN TARIK,37,1 
KOMPOR 2 TUNGKU HCM STENLIS,37,1 
BATU BATRAI DYNAMAX,38,1 
BOX 156 SL,39,1 
MAWAR LAUNDRY REFILL,40,6 
AGAR-AGAR INACO 1 KG,41,1 
AGAR-AGAR INACO 1 KG,41,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,42,3 
AGAR-AGAR INACO 1 KG,42,1 
KARTU MEMBER,43,1 
RACUN TIKUS,44,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,44,2 
CUTER TRANSPARAN,45,1 
TALENAN KAYU KCL,46,2 
BOX CB 55,47,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,47,3 
JAM DINDING ANGKA,48,1 
BLENDER OMEGA NATIONAL,49,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,50,7 
MASKER DUCKBIL ANAK,50,2 
RAK PIRING EKONOMI BESAR,51,1 
MASKER DUCKBIL ANAK,51,1 
CUTER TRANSPARAN,51,1 
MINYAK KITA 1L,51,1 
MAWAR LAUNDRY REFILL,52,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,53,1 
KIPAS TANGAN GRADASI,53,1 
TREMOS INDOGLASS 500ML,53,1 
KRUPUK KENTANG,54,1 
CUTER TRANSPARAN,54,1 
JAM DINDING ANGKA,54,1 
AGAR-AGAR INACO 1 KG,55,2 
LAMPU LEED 5 WATT,56,1 
RAK COSMIC 3SSN ABU,56,1 
TEETH WHITENING,57,1 
CUTER TRANSPARAN,57,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,58,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,59,1 
RAK PIRING EKONOMI BESAR,59,1 
AGAR-AGAR INACO 1 KG,60,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,61,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,61,2 
TEKO JINNIE AYAM JAGO PURIH DX,62,1 
BOLA MANDI 25,63,1 
AGAR-AGAR INACO 1 KG,63,1 
KOK,63,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,64,3 
TEPUNG IRUT,65,1 
BANTAL CINTA,66,1 
KOMPOR MIYAKO KG-11C,66,2 
LEMARI FAWSLINE 3 SUSUN,67,1 
BOTOL ENJOYLIFE,68,1 
RAK SEPATU PORTABLE GENEVA 5SN,69,1 
BOTOL ENJOYLIFE,70,1 
MAWAR LAUNDRY REFILL,71,2 
PRESTO HCML 8 L,71,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,71,1 
SPREI MY LOVE 180 30CM,71,1 
KARTU MEMBER,72,2 
SARUNG BUSA 160x20,73,5 
TENDA 2 PINTU,73,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,73,1 
PAYUNG 16 JARI,73,1 
BOTOL MINUM 750ML SL,74,1 
TEETH WHITENING,74,1 
BOTOL MINUM 750ML SL,74,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,75,1 
BUSA ROYAL 120x30,75,1 
BUSA ROYAL 140x30,76,1 
CUTER TRANSPARAN,77,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,78,2 
BATANG KORDEN 1M,78,2 
BATANG KORDEN 1.5M,79,1 
SAPU DUK BINTANG,80,2 
MEJA BELAJAR IMPOR KARAKTER,81,1 
JAM DINDING ANGKA,81,1 
KERANJANG PAJERO WARNA,82,2 
KERANJANG PAJERO WARNA,82,2 
AGAR-AGAR INACO 1 KG,82,1 
TEPUNG IRUT,83,1 
GILINGAN MIE GSF,84,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,84,1 
KERANJANG PAJERO WARNA,85,1 
GAGANG SUPERMOP,86,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,86,1 
MANTEL ELMONDO ANAK,87,4 
TIKAR ISTANA JUMBO,88,1 
PISAU STENLIS BUAH,89,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,90,1 
GAGANG SUPERMOP,90,3 
KARTU MEMBER,91,1 
AGAR-AGAR INACO 1 KG,92,1 
JEMURAN POPOK 30 LION STAR,93,1 
CUTER TRANSPARAN,94,1 
BATRAI ABC SEDENG,95,1 
TIMBANGAN KUE GSF DIGITAL 4505,95,1 
CUTER TRANSPARAN,95,1 
BATU BATRAI DYNAMAX,96,1 
GELAS WILLY SET,97,5 
BATANG KORDEN 1M,97,1 
KORDEN SMOKRING,97,1 
WALLPAPER DAPUR 5M,97,1 
SPREI BONITA 180x200,98,1 
CUTER TRANSPARAN,98,1 
MASKER DUCKBIL ANAK,99,1 
TREMOS SOLARIS LION STAR,100,1 
PAYUNG LIPAT 3 DIMENSI,101,1 
RAK SEPATU PORTABLE GENEVA 5SN,102,1 
GELAS CANTEL KOPI,103,1 
BOTOL MINUM 750ML SL,103,3 
TEETH WHITENING,103,2 
JEMURAN JUMBO STENLIS,103,1 
KARTU MEMBER,104,1 
SAPU CLASIC VINODA,104,1 
PEL PELAN VINODA,104,1 
CUTER TRANSPARAN,104,5 
JEMURAN ALUMINIUM STANDART WARNA,104,5 
PAYUNG 16 JARI,104,5 
PAYUNG PELANGI JUMBO,104,5 
KERANJANG PAJERO WARNA,104,2 
TOPLES 16L,104,2 
MASKER DUCKBIL ANAK,104,2 
SAPU DUK BINTANG,104,2 
SEROK JUMBO,104,2 
CANGKIR LEPEK ROSE,104,3 
PISAU SET GSF,104,2 
PANGGANGAN OMICKO BULAT,104,2 
PERASAN JERUK STENLIS,105,2 
AGAR-AGAR INACO 1 KG,106,2 
KERANJANG PAJERO WARNA,107,2 
KIPAS WELHOME BERDIRI 1681,108,2 
KIPAS WELHOME BERDIRI 1681,109,2 
RACUN TIKUS,110,2 
RICE BUCKET 17L,110,1 
SAPU CLASIC VINODA,110,1 
PEL PELAN VINODA,110,4 
MAINAN TARIK,110,2 
BASKOM JUMBO GSF,110,2 
SPREI BONITA 160X20,110,2 
ROYAL MEDICARE 140,111,1 
MAINAN TRUK TTP 777,111,1 
MAGICOM COSMOS CRJ 3306,113,1 
JAM DINDING ANGKA,114,1 
CUTER TRANSPARAN,114,1 
JAM DINDING ANGKA,114,1 
BANTAL GULING CANON,114,2 
RAK SEPATU PORTABLE GENEVA 5SN,115,1 
SINGLE HANGER BY SHENAR,115,1 
RAK SEPATU PORTABLE GENEVA 5SN,115,1 
SAPU LIDI PRING BULAT,116,1 
GAGANG SUPERMOP,116,1 
BANTAL/GULING MAHKOTA MERAH,117,1 
GELAS CANTEL POLOS JUMBO,117,1 
TIMBANGAN DAPUR KENMASTER,117,1 
CUTER TRANSPARAN,117,1 
RAK COSMIC 3SSN ABU,117,1 
KANEBO BIRU,118,1 
CUTER TRANSPARAN,118,1 
BOTOL MINUM 750ML SL,119,1 
TOPLES KACA SET 4PCS,119,1 
BAK HITAM 28 SJP,119,1 
JAM DINDING ANGKA,120,1 
TOPLES KACA 700ML,120,1 
KLEM SLANG,120,1 
KARPET METERAN,120,1 
RACUN TIKUS,121,2 
CUTER TRANSPARAN,121,5 
BOTOL MINUM 750ML SL,122,2 
JEMURAN HOLDING TABITHA 30 STIK,122,1 
PEL PELAN VINODA,123,1 
TEMPAT TISU KOTAK PANJANG,123,1 
JAM DINDING ANGKA,124,1 
PISAU SET GSF,124,1 
RAK PIRING ALUMINIUM BIASA,124,1 
MANGKOK 2 WARNA,124,1 
PIRING 2 WARNA,124,1 
PIRING JAGO,125,1 
GELAS RT KEMBANG,126,1 
GELAS SOP BUAH,127,1 
KARTU MEMBER,127,2 
BOX CB 55,127,1 
RAK AMAZING BY SHENAR,127,1 
SAPU DUK BINTANG,128,1 
RANTANG JAGO STENLIS,129,1 
LEMARI LS2P NON KACA,129,1 
SPREI ILLUSION 160,129,1 
CUTER TRANSPARAN,129,1 
GELAS RT KEMBANG,129,1 
RICE BUCKET 17L,129,1 
PIRING JAGO,129,4 
SPREI MY LOVE 180 30CM,129,2 
CANGKIR LEPEK JAGO,130,2 
TREMOS SOLARIS LION STAR,131,1 
MASKER DUCKBIL ANAK,131,2 
SAPU DUK BINTANG,132,1 
RAK AMAZING BY SHENAR,133,1 
SPREI ILLUSION 160,133,1 
JAM DINDING ANGKA,134,1 
CUTER TRANSPARAN,135,1 
PIRING DINASTY KUPU 8,136,1 
TEMPAT TISU KOTAK PANJANG,137,1 
MASKER DUCKBIL ANAK,138,1 
CUTER TRANSPARAN,139,1 
TEFLON MAXIM 26,140,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,141,1 
KIPAS WELHOME BERDIRI 1681,142,1 
CUTER TRANSPARAN,142,2 
TREMOS INDOGLASS 750ML,142,1 
JAM DINDING ANGKA,143,1 
MASKER DUCKBIL ANAK,143,1 
BOX EZ 30,143,1 
SAPU DUK BINTANG,144,3 
SPREI BONITA 180x200,144,2 
MASKER DUCKBIL ANAK,145,1 
MASKER DUCKBIL ANAK,146,1 
CUTER TRANSPARAN,147,1 
GELAS CANTEL KOPI,147,3 
JAM DINDING ANGKA,147,1 
ROYAL FOAM KAIN ZAKAT,148,2 
JEMURAN JUMBO STENLIS,149,1 
MAGICOM MIYAKO 528,150,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,151,2 
SPREI MY LOVE 180 30CM,151,1 
JAM DINDING ANGKA,152,1 
LAMPU LEED 5 WATT,152,1 
KARTU MEMBER,152,1 
TEETH WHITENING,153,2 
CUTER TRANSPARAN,154,1 
CUTER TRANSPARAN,156,1 
PAYUNG PELANGI JUMBO,157,1 
RAK AMAZING BY SHENAR,157,1 
MANTEL PONCO PANJANG,157,1 
KIPAS WELHOME BERDIRI 1681,157,1 
RAK SET GANTUNG 3IN1,158,1 
CUTER TRANSPARAN,159,1 
CUTER TRANSPARAN,159,1 
KIPAS WELHOME BERDIRI 1681,160,1 
LEMARI GMCC TIREX 4SSN,161,1 
JEMURAN ALUMINIUM STANDART WARNA,162,1 
SENDOK POLKADOT,162,1 
BATU BATRAI DYNAMAX,162,4 
JEMURAN ALUMINIUM STANDART WARNA,162,1 
TIMBANGAN BADAN KECIL,163,2 
RAK KAMAR MANDI SUDUT,163,1 
TREMOS INDOGLASS 500ML,164,1 
GELAS RT KEMBANG,164,1 
MAINAN TARIK,164,1 
LAMBAR KACA,165,6 
ROVEGA LAUNDRY BASKET 3SSN,166,1 
TEMPAT TISU KOTAK PANJANG,167,1 
JEMURAN ALUMINIUM STANDART WARNA,168,1 
BOX CONTAINER,169,1 
SPREI MY LOVE 180 30CM,169,2 
KARTU MEMBER,170,1 
LAMPU EMERGENCY CERDAS,170,2 
TIMBANGAN BADAN KECIL,170,1 
BATU BATRAI DYNAMAX,171,1 
KERANJANG PAJERO WARNA,172,1 
PAYUNG PELANGI JUMBO,172,2 
KARPET SPONS MURAH,173,1 
KASUR LANTAI PALEMBANG,174,2 
RAK DAPUR BY SHENAR,174,2 
TEKO SET JAGO,175,1 
CUTER TRANSPARAN,176,1 
KIPAS WELHOME BERDIRI 1681,176,1 
TEETH WHITENING,177,1 
CUTER TRANSPARAN,178,1 
SPRINGBED VALENCIA,178,1 
SELIMUT KARAKTER ANAK,179,3 
TOPLES 16L,179,1 
BANTAL SOVA,179,2 
RAK DAPUR BY SHENAR,179,4 
KESED ANYAMAN,180,1 
JAM DINDING ANGKA,181,1 
JAM DINDING ANGKA,181,2 
MASKER DUCKBIL ANAK,182,2 
CUTER TRANSPARAN,182,1 
JAM DINDING ANGKA,182,1 
PANCI SUSU TUTUP 16,183,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,184,1 
SPREI MY LOVE 180 30CM,185,1 
RAK SET GANTUNG 3IN1,186,2 
RAK AMAZING BY SHENAR,187,1 
RANTANG JAGO STENLIS,188,1 
BUSA ROYAL 140x30,188,2 
BUSA ROYAL 160x20,188,1 
SELIMUT KARAKTER ANAK,188,1 
BANTAL/GULING MAHKOTA MERAH,188,1 
CETAKAN PUKIS SUGGO,188,4 
BANTAL CINTA,189,4 
CUTER TRANSPARAN,190,1 
CUTER TRANSPARAN,191,5 
SANDAL SWALLOW SERI,192,2 
SENDOK/GARPU BATIK,193,1 
PANGGANGAN LIPAT,194,1 
