Item;transaction
RAK MINI SSN 4;1
SAPU TEPES;1
TALENAN KAYU BSR;1
LEMARI PLASTICO 4SSN;1
RAK CHIKI/SNACK JUMBO;1
LAMBAR KACA;1
SELIMUT KARAKTER ANAK;2
HANDUK KARAKTER ANAK;1
PISAU SET GSF;1
TEKO JINNIE AYAM JAGO PURIH DX;1
PRESTO HCML 8 L;2
ONGKIR;1
FRYPAN SET PANCI;1
MUKENA TERUSAN FATIMAH;2
DIPAN 160 MINIMALIS;3
TOPLES 16L;1
RAK SEPATU PORTABLE GENEVA 5SN;2
BOX CONTAINER;3
STIKER MOMO;1
LEMARI PLASTICO 4SSN;2
STIKER MOMO;3
RAK SET GANTUNG 3IN1;4
SPRITE/COCA COLA/fFANTA 1 KRAT;5
NAMPAN 4 SEDENG;1
BANTAL/GULING KARAKTER;1
PEL PELAN NAGOYA;2
EMBER 23 REDHOUSE;3
BOTOL ENJOYLIFE;4
TREMOS ELEPHANT;1
RAK SEPATU PORTABLE GENEVA 5SN;1
POMPA GALON ELEKTRIK GSF;2
GELAS CANTEL JEMPOL;3
GELAS CANTEL POLOS JUMBO;1
SPRINGBED BIGDREAM 180;2
TEPUNG IRUT;1
CUTER TRANSPARAN;1
KARPET SPONS MURAH;1
RACUN TIKUS;1
SELIMUT KARAKTER ANAK;1
KIPAS WELHOME BERDIRI 1681;1
KARPET METERAN;2
LEMARI GMCC TIREX 3SSN;3
CUTER TRANSPARAN;4
KARTU MEMBER;1
TEMPAT TISU KOTAK PANJANG;1
SPREI WATERPROOF 180;1
TIMBANGAN  DIGITAL GSF;1
SETRIKA COSMOS CIS-428;1
LEMARI GMCC TIREX 3SSN;1
MAINAN TARIK;2
BATU BATRAI DYNAMAX;3
SPRITE/COCA COLA/fFANTA 1 KRAT;1
CLUNNY SET;2
PISAU SET GSF;3
GAGANG SUPERMOP;1
PIRING ROTAN PLASTIK;2
TIKAR ISTANA JUMBO;3
KARTU MEMBER;1
RACUN TIKUS;1
RODA KAKI KULKAS;1
SPREI MY LOVE 180 30CM;2
SPRITE/COCA COLA/fFANTA 1 KRAT;1
RANTANG JAGO STENLIS;2
SPRITE/COCA COLA/fFANTA 1 KRAT;3
SPREI MY LOVE 180 30CM;1
MAINAN TARIK;2
KOMPOR 2 TUNGKU HCM STENLIS;3
BATU BATRAI DYNAMAX;1
BOX 156 SL;1
MAWAR LAUNDRY REFILL;1
AGAR-AGAR INACO 1 KG;1
AGAR-AGAR INACO 1 KG;2
SPRITE/COCA COLA/fFANTA 1 KRAT;1
AGAR-AGAR INACO 1 KG;2
KARTU MEMBER;1
RACUN TIKUS;1
SPRITE/COCA COLA/fFANTA 1 KRAT;2
CUTER TRANSPARAN;1
TALENAN KAYU KCL;1
BOX CB 55;1
SPRITE/COCA COLA/fFANTA 1 KRAT;2
JAM DINDING ANGKA;1
BLENDER OMEGA NATIONAL;1
SPRITE/COCA COLA/fFANTA 1 KRAT;1
MASKER DUCKBIL ANAK;2
RAK PIRING EKONOMI BESAR;1
MASKER DUCKBIL ANAK;2
CUTER TRANSPARAN;3
MINYAK KITA 1L;4
MAWAR LAUNDRY REFILL;1
SPRITE/COCA COLA/fFANTA 1 KRAT;1
KIPAS TANGAN GRADASI;2
TREMOS INDOGLASS 500ML;3
KRUPUK KENTANG;1
CUTER TRANSPARAN;2
JAM DINDING ANGKA;3
AGAR-AGAR INACO 1 KG;1
LAMPU LEED 5 WATT;1
RAK COSMIC 3SSN ABU;2
TEETH WHITENING;1
CUTER TRANSPARAN;2
SPRITE/COCA COLA/fFANTA 1 KRAT;1
SPRITE/COCA COLA/fFANTA 1 KRAT;1
RAK PIRING EKONOMI BESAR;2
AGAR-AGAR INACO 1 KG;1
SPRITE/COCA COLA/fFANTA 1 KRAT;1
SPRITE/COCA COLA/fFANTA 1 KRAT;2
TEKO JINNIE AYAM JAGO PURIH DX;1
BOLA MANDI 25;1
AGAR-AGAR INACO 1 KG;2
KOK;3
SPRITE/COCA COLA/fFANTA 1 KRAT;1
TEPUNG IRUT;1
BANTAL CINTA;1
KOMPOR MIYAKO KG-11C;2
LEMARI FAWSLINE 3 SUSUN;1
BOTOL ENJOYLIFE;1
RAK SEPATU PORTABLE GENEVA 5SN;1
BOTOL ENJOYLIFE;1
MAWAR LAUNDRY REFILL;1
PRESTO HCML 8 L;2
SPRITE/COCA COLA/fFANTA 1 KRAT;3
SPREI MY LOVE 180 30CM;4
KARTU MEMBER;1
SARUNG BUSA 160x20;1
TENDA 2 PINTU;2
SPRITE/COCA COLA/fFANTA 1 KRAT;3
PAYUNG 16 JARI;4
BOTOL MINUM 750ML SL;1
TEETH WHITENING;2
BOTOL MINUM 750ML SL;3
SPRITE/COCA COLA/fFANTA 1 KRAT;1
BUSA ROYAL 120x30;2
BUSA ROYAL 140x30;1
CUTER TRANSPARAN;1
SPRITE/COCA COLA/fFANTA 1 KRAT;1
BATANG KORDEN 1M;2
BATANG KORDEN 1.5M;1
SAPU DUK BINTANG;1
MEJA BELAJAR IMPOR KARAKTER;1
JAM DINDING ANGKA;2
KERANJANG PAJERO WARNA;1
KERANJANG PAJERO WARNA;2
