Item,Transaction
RAK MINI SSN 4,1
SAPU TEPES,1
TALENAN KAYU BSR,1
LEMARI PLASTICO 4SSN,1
RAK CHIKI/SNACK JUMBO,1
LAMBAR KACA,1
SELIMUT KARAKTER ANAK,1
HANDUK KARAKTER ANAK,2
PISAU SET GSF,1
TEKO JINNIE AYAM JAGO PURIH DX,1
PRESTO HCML 8 L,1
ONGKIR,2
FRYPAN SET PANCI,1
MUKENA TERUSAN FATIMAH,1
DIPAN 160 MINIMALIS,2
TOPLES 16L,3
RAK SEPATU PORTABLE GENEVA 5SN,1
BOX CONTAINER,2
STIKER MOMO,3
LEMARI PLASTICO 4SSN,1
STIKER MOMO,2
RAK SET GANTUNG 3IN1,3
SPRITE/COCA COLA/fFANTA 1 KRAT,4
NAMPAN 4 SEDENG,5
BANTAL/GULING KARAKTER,1
PEL PELAN NAGOYA,1
EMBER 23 REDHOUSE,2
BOTOL ENJOYLIFE,3
TREMOS ELEPHANT,4
RAK SEPATU PORTABLE GENEVA 5SN,1
POMPA GALON ELEKTRIK GSF,1
GELAS CANTEL JEMPOL,2
GELAS CANTEL POLOS JUMBO,3
SPRINGBED BIGDREAM 180,1
TEPUNG IRUT,2
CUTER TRANSPARAN,1
KARPET SPONS MURAH,1
RACUN TIKUS,1
SELIMUT KARAKTER ANAK,1
KIPAS WELHOME BERDIRI 1681,1
KARPET METERAN,1
LEMARI GMCC TIREX 3SSN,2
CUTER TRANSPARAN,3
KARTU MEMBER,4
TEMPAT TISU KOTAK PANJANG,1
SPREI WATERPROOF 180,1
TIMBANGAN  DIGITAL GSF,1
SETRIKA COSMOS CIS-428,1
LEMARI GMCC TIREX 3SSN,1
MAINAN TARIK,1
BATU BATRAI DYNAMAX,2
SPRITE/COCA COLA/fFANTA 1 KRAT,3
CLUNNY SET,1
PISAU SET GSF,2
GAGANG SUPERMOP,3
PIRING ROTAN PLASTIK,1
TIKAR ISTANA JUMBO,2
KARTU MEMBER,3
RACUN TIKUS,1
RODA KAKI KULKAS,1
SPREI MY LOVE 180 30CM,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
RANTANG JAGO STENLIS,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
SPREI MY LOVE 180 30CM,3
MAINAN TARIK,1
KOMPOR 2 TUNGKU HCM STENLIS,2
BATU BATRAI DYNAMAX,3
BOX 156 SL,1
MAWAR LAUNDRY REFILL,1
AGAR-AGAR INACO 1 KG,1
AGAR-AGAR INACO 1 KG,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
AGAR-AGAR INACO 1 KG,1
KARTU MEMBER,2
RACUN TIKUS,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1
CUTER TRANSPARAN,2
TALENAN KAYU KCL,1
BOX CB 55,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1
JAM DINDING ANGKA,2
BLENDER OMEGA NATIONAL,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1
MASKER DUCKBIL ANAK,1
RAK PIRING EKONOMI BESAR,2
MASKER DUCKBIL ANAK,1
CUTER TRANSPARAN,2
MINYAK KITA 1L,3
MAWAR LAUNDRY REFILL,4
SPRITE/COCA COLA/fFANTA 1 KRAT,1
KIPAS TANGAN GRADASI,1
TREMOS INDOGLASS 500ML,2
KRUPUK KENTANG,3
CUTER TRANSPARAN,1
JAM DINDING ANGKA,2
AGAR-AGAR INACO 1 KG,3
LAMPU LEED 5 WATT,1
RAK COSMIC 3SSN ABU,1
TEETH WHITENING,2
CUTER TRANSPARAN,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
SPRITE/COCA COLA/fFANTA 1 KRAT,1
RAK PIRING EKONOMI BESAR,1
AGAR-AGAR INACO 1 KG,2
SPRITE/COCA COLA/fFANTA 1 KRAT,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1
TEKO JINNIE AYAM JAGO PURIH DX,2
BOLA MANDI 25,1
AGAR-AGAR INACO 1 KG,1
KOK,2
SPRITE/COCA COLA/fFANTA 1 KRAT,3
TEPUNG IRUT,1
BANTAL CINTA,1
KOMPOR MIYAKO KG-11C,1
LEMARI FAWSLINE 3 SUSUN,2
BOTOL ENJOYLIFE,1
RAK SEPATU PORTABLE GENEVA 5SN,1
BOTOL ENJOYLIFE,1
MAWAR LAUNDRY REFILL,1
PRESTO HCML 8 L,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
SPREI MY LOVE 180 30CM,3
KARTU MEMBER,4
SARUNG BUSA 160x20,1
TENDA 2 PINTU,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2
PAYUNG 16 JARI,3
BOTOL MINUM 750ML SL,4
TEETH WHITENING,1
BOTOL MINUM 750ML SL,2
SPRITE/COCA COLA/fFANTA 1 KRAT,3
BUSA ROYAL 120x30,1
BUSA ROYAL 140x30,2
CUTER TRANSPARAN,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1
BATANG KORDEN 1M,1
BATANG KORDEN 1.5M,2
SAPU DUK BINTANG,1
MEJA BELAJAR IMPOR KARAKTER,1
JAM DINDING ANGKA,1
KERANJANG PAJERO WARNA,2
KERANJANG PAJERO WARNA,1
