Item,Transaction,Kuantitas
RAK MINI SSN 4,1,1
SAPU TEPES,1,1
TALENAN KAYU BSR,1,6
LEMARI PLASTICO 4SSN,1,3
RAK CHIKI/SNACK JUMBO,1,1
LAMBAR KACA,1,1
SELIMUT KARAKTER ANAK,1,1
HANDUK KARAKTER ANAK,2,1
PISAU SET GSF,1,1
TEKO JINNIE AYAM JAGO PURIH DX,1,1
PRESTO HCML 8 L,1,1
FRYPAN SET PANCI,1,1
MUKENA TERUSAN FATIMAH,1,1
DIPAN 160 MINIMALIS,2,1
TOPLES 16L,3,1
RAK SEPATU PORTABLE GENEVA 5SN,1,1
BOX CONTAINER,2,1
STIKER MOMO,3,1
LEMARI PLASTICO 4SSN,1,1
STIKER MOMO,2,3
RAK SET GANTUNG 3IN1,3,4
SPRITE/COCA COLA/fFANTA 1 KRAT,4,4
NAMPAN 4 SEDENG,5,3
BANTAL/GULING KARAKTER,1,2
PEL PELAN NAGOYA,1,1
EMBER 23 REDHOUSE,2,1
BOTOL ENJOYLIFE,3,1
TREMOS ELEPHANT,4,1
RAK SEPATU PORTABLE GENEVA 5SN,1,1
POMPA GALON ELEKTRIK GSF,1,1
GELAS CANTEL JEMPOL,2,1
GELAS CANTEL POLOS JUMBO,3,1
SPRINGBED BIGDREAM 180,1,1
TEPUNG IRUT,2,1
CUTER TRANSPARAN,1,2
KARPET SPONS MURAH,1,1
RACUN TIKUS,1,5
SELIMUT KARAKTER ANAK,1,2
KIPAS WELHOME BERDIRI 1681,1,1
KARPET METERAN,1,2
LEMARI GMCC TIREX 3SSN,2,4
CUTER TRANSPARAN,3,1
TEMPAT TISU KOTAK PANJANG,1,1
SPREI WATERPROOF 180,1,1
TIMBANGAN  DIGITAL GSF,1,1
SETRIKA COSMOS CIS-428,1,1
LEMARI GMCC TIREX 3SSN,1,1
MAINAN TARIK,1,1
BATU BATRAI DYNAMAX,2,1
SPRITE/COCA COLA/fFANTA 1 KRAT,3,1
CLUNNY SET,1,1
PISAU SET GSF,2,1
GAGANG SUPERMOP,3,1
PIRING ROTAN PLASTIK,1,1
TIKAR ISTANA JUMBO,2,1
RACUN TIKUS,1,3
RODA KAKI KULKAS,1,1
SPREI MY LOVE 180 30CM,1,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2,2
RANTANG JAGO STENLIS,1,1
SPRITE/COCA COLA/fFANTA 1 KRAT,2,1
SPREI MY LOVE 180 30CM,3,1
MAINAN TARIK,1,1
KOMPOR 2 TUNGKU HCM STENLIS,2,1
BATU BATRAI DYNAMAX,3,1
BOX 156 SL,1,1
MAWAR LAUNDRY REFILL,1,6
