Transaction,item,date
1,SUPERMOP BODLE UNICRON,1/10/2023
2,PANCI MILKPAN ANDORA,1/10/2023
2,GAGANG SUPERMOP,1/10/2023
2,SALEP CINA BSR,1/10/2023
3,TEKO SIUL MASPION 22,2/10/2023
3,ALAS SETRIKA,2/10/2023
4,TATAKAN KOMPOR KAKI 4,2/10/2023
4,TATAKAN KOMPOR KAKI 4,2/10/2023
5,SARINGAN SANTAN STENLIS,2/10/2023
5,SARINGAN SANTAN STENLIS,2/10/2023
5,BLENDER OMEGA NATIONAL,2/10/2023
6,PEL PELAN GSF,2/10/2023
7,KARPET METERAN,2/10/2023
7,KARPET METERAN,2/10/2023
7,SAPU TEPES,2/10/2023
7,SARINGAN SANTAN 24,2/10/2023
8,LEMARI 12 SUSUN SERBAGUNA ACTIV,2/10/2023
9,TISU MODERN PAKET,2/10/2023
9,KERANJANG PAJERO POLOS,2/10/2023
9,ESKAN TANGGUNG,2/10/2023
10,ESKAN JUMBO,2/10/2023
11,SABUN CUCI PIRING B-LIGHT,2/10/2023
12,ESKAN TANGGUNG,2/10/2023
13,COOPER STENLIS IMPORT,2/10/2023
14,TREMOS ELEPHANT,2/10/2023
15,TEMPAT MAKAN BENTO SL,2/10/2023
15,KARPET SPONS TEBAL,2/10/2023
15,SUSU INDOMILK,2/10/2023
16,AQUA,2/10/2023
17,KIPAS DINDING WELHOME 1663E,2/10/2023
18,SAMPAH INJAK,2/10/2023
18,TERMOS FLOWERS,2/10/2023
18,TREMOS INDOGLASS 500ML,2/10/2023
18,CIMORY BOTOL,2/10/2023
18,SUSU INDOMILK,2/10/2023
18,SALEP CINA BSR,2/10/2023
18,AQUA,2/10/2023
19,JAM DINDING VINODA,2/10/2023
19,BATRAI MAXWATT,2/10/2023
20,BUSA BUSAWIT,2/10/2023
21,SUSU INDOMILK,2/10/2023
22,GAGANG SUPERMOP,2/10/2023
22,TEH GELAS,2/10/2023
23,PLAYMATE BAYI,3/10/2023
24,SPREI HOME UK 160 & 180,3/10/2023
24,HANDUK DEWASA,3/10/2023
24,HANDUK MERAH PUTIH UK50,3/10/2023
24,HANDUK DEWASA,3/10/2023
25,RAK AMAZING BY SHENAR,3/10/2023
26,MAWAR LAUNDRY REFILL,3/10/2023
27,TOPLES BENING MOTIF,3/10/2023
28,TAMPAH MURAH UK 40,3/10/2023
29,TEPUNG IRUT,3/10/2023
29,LAMPU LAYANGAN,3/10/2023
29,LAMPU LAYANGAN,3/10/2023
29,LAMPU LAYANGAN,3/10/2023
29,PENA BOLPENKU 1PAK,3/10/2023
29,TREMOS INDOGLASS 750ML,3/10/2023
30,BOTOL TAKUMA,3/10/2023
30,MAINAN KITCHEN MK 14,3/10/2023
31,KARPET GAMBAR BOLAK BALIK UK 180X180,3/10/2023
31,KARPET GAMBAR BOLAK BALIK UK 180X180,3/10/2023
32,MAGICOM MIYAKO 612,3/10/2023
32,KARPET BENTOL,3/10/2023
33,SUSU INDOMILK,3/10/2023
33,SALEP CINA BSR,3/10/2023
34,SALEP CINA BSR,3/10/2023
34,RAK PIRING RPK 3 SSN,3/10/2023
35,SOLED KAYU,3/10/2023
35,JAM VINODA BIASA,4/10/2023
35,JAM VINODA BIASA,4/10/2023
35,JAM VINODA BIASA,4/10/2023
