item,Transaction
RAK MINI SSN 4,1
SAPU TEPES,2
TALENAN KAYU BSR,3
LEMARI PLASTICO 4SSN,4
RAK CHIKI/SNACK JUMBO,5
LAMBAR KACA,6
SELIMUT KARAKTER ANAK,6
HANDUK KARAKTER ANAK,7
PISAU SET GSF,8
TEKO JINNIE AYAM JAGO PURIH DX,9
PRESTO HCML 8 L,9
ONGKIR,10
FRYPAN SET PANCI,11
MUKENA TERUSAN FATIMAH,11
DIPAN 160 MINIMALIS,11
TOPLES 16L,12
RAK SEPATU PORTABLE GENEVA 5SN,12
BOX CONTAINER,12
STIKER MOMO,13
LEMARI PLASTICO 4SSN,13
STIKER MOMO,13
RAK SET GANTUNG 3IN1,13
SPRITE/COCA COLA/fFANTA 1 KRAT,13
NAMPAN 4 SEDENG,14
BANTAL/GULING KARAKTER,15
PEL PELAN NAGOYA,15
EMBER 23 REDHOUSE,15
BOTOL ENJOYLIFE,15
TREMOS ELEPHANT,16
RAK SEPATU PORTABLE GENEVA 5SN,17
POMPA GALON ELEKTRIK GSF,17
GELAS CANTEL JEMPOL,17
GELAS CANTEL POLOS JUMBO,18
SPRINGBED BIGDREAM 180,18
TEPUNG IRUT,19
CUTER TRANSPARAN,20
KARPET SPONS MURAH,21
RACUN TIKUS,22
SELIMUT KARAKTER ANAK,23
KIPAS WELHOME BERDIRI 1681,24
KARPET METERAN,24
LEMARI GMCC TIREX 3SSN,24
CUTER TRANSPARAN,24
KARTU MEMBER,25
TEMPAT TISU KOTAK PANJANG,26
SPREI WATERPROOF 180,27
TIMBANGAN  DIGITAL GSF,28
SETRIKA COSMOS CIS-428,29
LEMARI GMCC TIREX 3SSN,30
MAINAN TARIK,30
BATU BATRAI DYNAMAX,30
SPRITE/COCA COLA/fFANTA 1 KRAT,31
CLUNNY SET,31
PISAU SET GSF,31
GAGANG SUPERMOP,32
PIRING ROTAN PLASTIK,32
TIKAR ISTANA JUMBO,32
KARTU MEMBER,33
RACUN TIKUS,34
RODA KAKI KULKAS,35
SPREI MY LOVE 180 30CM,35
